feature,importance
battery_rolling_mean,0.07058801606179325
battery_rolling_std,0.070319288270276
lidar_rolling_mean,0.06761656565577724
lidar_abs_rate_change,0.06735280162910853
lidar_rolling_std,0.06730680389618648
wheel_torque_3_spectral_power,0.06680705885857591
battery_abs_rate_change,0.0665219693093119
lidar_rate_of_change,0.06614870732024433
battery_rate_of_change,0.06522275975216978
wheel_torque_2_spectral_power,0.06411150116689507
wheel_torque_4_spectral_power,0.0633717739796456
wheel_torque_1_spectral_power,0.06319730167297191
composite_anomaly_score,0.06040475459392102
wheel_torque_3_dominant_frequency,0.036058982570171635
wheel_torque_4_dominant_frequency,0.03515212765538128
wheel_torque_1_dominant_frequency,0.035038132187399526
wheel_torque_2_dominant_frequency,0.03478145542017055
